category,success,failed,backers,pledged,goal,maincategory,nprojects
3D Printing,242,441,158779,66323,46619,Technology,683
Academic,188,728,37751,2890,54531,Publishing,916
Accessories,1073,2092,256036,6526,14683,Fashion,3165
Action,107,633,34708,3699,317156,Film & Video,740
Animals,63,192,10748,2994,10586,Photography,255
Animation,682,1859,333433,9945,91451,Film & Video,2541
Anthologies,521,263,178366,9851,9359,Comics,784
Apparel,1414,5752,367844,5463,33368,Fashion,7166
Apps,378,5967,144290,1640,70703,Technology,6345
Architecture,179,581,39362,6404,414474,Design,760
Art,3385,4868,369311,3583,47390,Art,8253
Art Books,1356,1320,335466,8925,11153,Publishing,2676
Audio,111,299,22205,3527,16743,Journalism,410
Bacon,38,183,5075,1407,22538,Food,221
Blues,117,151,12231,3998,10519,Music,268
Calendars,128,201,28307,3872,6024,Publishing,329
Camera Equipment,192,224,179939,81362,39868,Technology,416
Candles,55,374,5038,563,5702,Crafts,429
Ceramics,132,173,14553,4705,12958,Art,305
Children's Books,2348,4408,410255,3547,11084,Publishing,6756
Childrenswear,95,388,19586,3484,16020,Fashion,483
Chiptune,27,8,15538,17691,6959,Music,35
Civic Design,104,185,34991,11470,153884,Design,289
Classical Music,1647,966,140545,4621,8516,Music,2613
Comedy,912,1408,188545,6093,77477,Film & Video,2320
Comic Books,1614,1129,238323,3413,5712,Comics,2743
Comics,2506,2490,643900,6536,32904,Comics,4996
Community Gardens,66,232,5561,1603,44837,Food,298
Conceptual Art,366,664,27651,1627,43058,Art,1030
Cookbooks,130,410,53637,5790,15019,Food,540
Country & Folk,2812,1639,294644,4807,21963,Music,4451
Couture,42,233,3321,1383,56831,Fashion,275
Crafts,1162,3502,146691,1736,9636,Crafts,4664
Crochet,35,127,1272,297,3693,Crafts,162
DIY,183,990,20581,1113,17837,Crafts,1173
DIY Electronics,417,485,223989,22350,20044,Technology,902
Dance,1542,780,106193,3572,7833,Dance,2322
Design,1413,2786,755421,17522,40361,Design,4199
Digital Art,371,975,43798,1883,10565,Art,1346
Documentary,5924,10215,1447677,8607,52857,Film & Video,16139
Drama,812,1367,80512,4335,187828,Film & Video,2179
Drinks,594,1828,135486,6133,51350,Food,2422
Electronic Music,700,1470,96342,2573,11106,Music,2170
Embroidery,19,94,1588,840,4452,Crafts,113
Events,158,660,17644,1747,30492,Food,818
Experimental,358,566,26315,2028,61900,Theater,924
Fabrication Tools,66,184,29052,48192,115989,Technology,250
Faith,456,636,48559,4458,13051,Music,1092
Family,66,270,13742,4646,76874,Film & Video,336
Fantasy,106,239,37105,9329,575238,Film & Video,345
Farmer's Markets,70,354,7608,1775,33158,Food,424
Farms,242,912,39480,3938,117271,Food,1154
Fashion,2188,6366,564869,5469,15309,Fashion,8554
Festivals,457,382,33514,3276,26375,Theater,839
Fiction,2233,6936,256892,1441,29885,Publishing,9169
Film & Video,3070,7038,479206,4658,81139,Film & Video,10108
Fine Art,283,493,20969,2430,18792,Photography,776
Flight,76,350,77818,28621,139219,Technology,426
Food,3297,8196,766977,6150,40107,Food,11493
Food Trucks,217,1535,34446,1914,27959,Food,1752
Footwear,298,633,127292,16291,24234,Fashion,931
Gadgets,827,2138,930880,30519,52341,Technology,2965
Games,779,2447,269076,6547,52439,Games,3226
Gaming Hardware,99,329,121584,40088,77286,Games,428
Glass,38,100,2592,1472,8431,Crafts,138
Graphic Design,750,1252,197703,5519,6871,Design,2002
Graphic Novels,1011,853,285759,8216,9885,Comics,1864
Hardware,1206,2457,1136323,43277,93809,Technology,3663
Hip-Hop,602,3310,76388,1180,18975,Music,3912
Horror,397,890,55501,4910,145974,Film & Video,1287
Illustration,1626,1549,205419,3429,28901,Art,3175
Immersive,169,161,14968,4591,151792,Theater,330
Indie Rock,3618,2039,346597,3902,6093,Music,5657
Installations,233,249,23221,4541,150500,Art,482
Interactive Design,79,319,18533,5323,38971,Design,398
Jazz,1104,746,106652,4545,8403,Music,1850
Jewelry,301,938,32893,2649,10694,Fashion,1239
Journalism,472,1275,79379,3044,61988,Journalism,1747
Kids,126,159,16343,4323,13171,Music,285
Knitting,85,96,10990,3737,5993,Crafts,181
Latin,38,99,4368,3016,14086,Music,137
Letterpress,31,18,6078,9665,6276,Crafts,49
